Questions,Answers
Is free tuition is a subsidy for the rich?,"It is true that only 12% of the poorest of the poor are in SUCs. The large percent of the poorest of the poor aren’t in college because of financial and other limitations. But what the bill hopes to do is support the majority of SUC students who may not be of the “poorest of the poor” but still face financial difficulties in paying for a higher education.
These are some estimates based on data from the Annual Poverty Indicator Survey (APIS) 2014:
49% of students in SUCs come from the bottom 50% of the population, from income levels determined by PIDS to need full support (tuition + other educational expenses + living allowance) to finish college.
Up to 71% of students in SUCs come from families that do not have disposable income, with monthly family income of approx. P27,000 or less. Their families are struggling to send their children to school.
On the other hand, only up to 28% of students in SUCs come from families that can COMFORTABLY send ONE child to school, with monthly family income of more than P29,000.
Only up to 17% of students in SUCs come from families with monthly family income higher than P40,000.
Only up to 7% of students in SUCs come from families with monthly family income of more than P78,000.
Based on another report from Philippine Association of State Universities and Colleges (PASUC) providing data from 58 SUCs, 77% of students enrolled in SUCs have family income within the minimum wage range or lower.
Based on APIS 2014, 40.7% of students aged 16 to 17 will not continue their studies because of financial concerns or high cost of education. This is the reason why only 1 out of 4 students who enter college will graduate.
SUC students who can afford the tuition have the option to opt-out of free tuition, and pay the full tuition fee instead."
Do we need to focus on basic education before we focus on college-level?,"We are not taking away any of the budget from K-12 implementation.
The budget that is allocated for K-12 implementation, as coursed through the Department of Education, will remain intact to continue improving basic education facilities like building more classrooms, hiring more teachers, and improving the overall quality of K-12 delivery.
The budget for free tuition in SUCs will come through a different budget allocation and will be coursed through CHED and SUCs. Reforms in the higher education sector are complementary to the reforms in the basic education."
Do we need to focus on basic education before we focus on college-level?,"We are not taking away any of the budget from K-12 implementation.
The budget that is allocated for K-12 implementation, as coursed through the Department of Education, will remain intact to continue improving basic education facilities like building more classrooms, hiring more teachers, and improving the overall quality of K-12 delivery.
The budget for free tuition in SUCs will come through a different budget allocation and will be coursed through CHED and SUCs. Reforms in the higher education sector are complementary to the reforms in the basic education."
Students and their families won’t value their education anymore because it’s free.,"Students are still subject to admission and retention standards of the schools they enroll in and will not be able to avail of their free education should they get a failing mark. Students would need to pass their subjects and study hard to secure that college diploma.
We are hopeful that students will value their education not just because of how much money was spent but also because of the opportunities it will open up once students graduate. Many Filipino families believe that a college education is key to unlocking higher paying jobs and a more prosperous future."
Students and their families won’t value their education anymore because it’s free.,"Students are still subject to admission and retention standards of the schools they enroll in and will not be able to avail of their free education should they get a failing mark. Students would need to pass their subjects and study hard to secure that college diploma.
We are hopeful that students will value their education not just because of how much money was spent but also because of the opportunities it will open up once students graduate. Many Filipino families believe that a college education is key to unlocking higher paying jobs and a more prosperous future."
Will SUCs have less money for salaries?,"Salaries of SUC staff come from the budget for Personal Services, which each SUC receives directly from the General Appropriations Act.
The SUCs will receive their budget, including the budget for free tuition and miscellaneous fees, from the Department of Budget and Management (DBM).
SUCs will still receive the same amount of money that they would receive if they were collecting tuition from students."
Will SUCs have less money for salaries?,"Salaries of SUC staff come from the budget for Personal Services, which each SUC receives directly from the General Appropriations Act.
The SUCs will receive their budget, including the budget for free tuition and miscellaneous fees, from the Department of Budget and Management (DBM).
SUCs will still receive the same amount of money that they would receive if they were collecting tuition from students."
Will SUCs raise miscellaneous fees to earn money from students?,"SUCs and government-run TVIs will not be allowed to charge the students with tuition and other fees, including miscellaneous fees."
Will SUCs raise miscellaneous fees to earn money from students?,"SUCs and government-run TVIs will not be allowed to charge the students with tuition and other fees, including miscellaneous fees."
Is Universal Access to Quality Tertiary Education Act sustainable?,"As long as education remains a priority, the government should be able to allocate a budget for free college education.
Due to the economic performance of our country in the past years, we are now enjoying a more robust budget. Our budget is set to grow by around 10% annually and the money used for subsidizing higher education for all SUC students is only a fraction in the increase in national budget.
Lastly, almost all Senators are committed to push for this bill, and since the power of the purse is in Congress, it means a commitment to allocate funding in the next budget cycle."
Is Universal Access to Quality Tertiary Education Act sustainable?,"As long as education remains a priority, the government should be able to allocate a budget for free college education.
Due to the economic performance of our country in the past years, we are now enjoying a more robust budget. Our budget is set to grow by around 10% annually and the money used for subsidizing higher education for all SUC students is only a fraction in the increase in national budget.
Lastly, almost all Senators are committed to push for this bill, and since the power of the purse is in Congress, it means a commitment to allocate funding in the next budget cycle."
"Can I still apply for other scholarships, grants in aid and loan?","Yes. To cover book costs, transport, board and lodging, etcetera, you can still apply for other scholarships through different StuFAP programs or private scholarships.
The free tuition does not prevent you from applying for other scholarships."
"Can I still apply for other scholarships, grants in aid and loan?","Yes. To cover book costs, transport, board and lodging, etcetera, you can still apply for other scholarships through different StuFAP programs or private scholarships.
The free tuition does not prevent you from applying for other scholarships."
What if I do not pass the entrance exam? Can we just pay the tuition fee?,No. To enter the university you must pass the entrance examination even if you will opt-out of the free tuition and pay.
What if I do not pass the entrance exam? Can we just pay the tuition fee?,No. To enter the university you must pass the entrance examination even if you will opt-out of the free tuition and pay.
Will the quality of the education be brought down when the SUC starts accepting too many students?,"SUCs will not be allowed to accept more students than their facilities and teaching staff can handle. They are limited to their currently set student population, until they can justify the expansion of their facilities.
If the SUC wants to increase their student population, they would need to defend it before Congress and CHED during their budget deliberations."
Will the quality of the education be brought down when the SUC starts accepting too many students?,"SUCs will not be allowed to accept more students than their facilities and teaching staff can handle. They are limited to their currently set student population, until they can justify the expansion of their facilities.
If the SUC wants to increase their student population, they would need to defend it before Congress and CHED during their budget deliberations."
Can SUCs still apply for other budget allocation for our school?,"Yes! SUCs can still apply for capital outlays, maintenance and other operating expenses, and personnel services by submitting a proposal during the deliberation period for the General Appropriations Act (the National Budget) for whatever expansion or project your school has.
For Local Universities and Colleges, the primary source of the budget will still be from the local council. If qualified, the CHED will just cover the tuition and other fees of students enrolled, but the rest of the expenses will still be sourced through the local council.
For TVIs, the budget will still be under the TESDA. Acquisition of new equipment or expansion of a program will still be the discretion of the head agency."
Can SUCs still apply for other budget allocation for our school?,"Yes! SUCs can still apply for capital outlays, maintenance and other operating expenses, and personnel services by submitting a proposal during the deliberation period for the General Appropriations Act (the National Budget) for whatever expansion or project your school has.
For Local Universities and Colleges, the primary source of the budget will still be from the local council. If qualified, the CHED will just cover the tuition and other fees of students enrolled, but the rest of the expenses will still be sourced through the local council.
For TVIs, the budget will still be under the TESDA. Acquisition of new equipment or expansion of a program will still be the discretion of the head agency."
Where do the schools get the tuition allocation?,The SUCs will receive their budget directly from DBM. The budget for LUCs will be coursed through CHED. And the budget for TVIs will be coursed through TESDA.
Where do the schools get the tuition allocation?,The SUCs will receive their budget directly from DBM. The budget for LUCs will be coursed through CHED. And the budget for TVIs will be coursed through TESDA.
What is UniFAST and why was it established?,"The Unified Financial Assistance System for Tertiary Education, or UniFAST --  also known as Republic Act No. 10687 -- was passed into law on 15 October 2015.

UniFAST reconciles, improves, strengthens, expands, and puts under one body all government-funded modalities of  Student Financial Assistance Programs (StuFAPs) for tertiary education – and special purpose education assistance  – in both public and private institutions. These modalities include scholarships, grants-in-aid, student loans and other specialized forms of  StuFAPs formulated by the UniFAST Board. 

The UniFAST law – and its Implementing Rules and Regulations (IRR) – are intended to make the implementation of  StuFAPs in the tertiary level more effective, efficient, and politically-neutral or free of  political labeling. "
What is UniFAST and why was it established?,"The Unified Financial Assistance System for Tertiary Education, or UniFAST --  also known as Republic Act No. 10687 -- was passed into law on 15 October 2015.

UniFAST reconciles, improves, strengthens, expands, and puts under one body all government-funded modalities of  Student Financial Assistance Programs (StuFAPs) for tertiary education – and special purpose education assistance  – in both public and private institutions. These modalities include scholarships, grants-in-aid, student loans and other specialized forms of  StuFAPs formulated by the UniFAST Board. 

The UniFAST law – and its Implementing Rules and Regulations (IRR) – are intended to make the implementation of  StuFAPs in the tertiary level more effective, efficient, and politically-neutral or free of  political labeling. "
What is Tertiary Education?,"“Tertiary Education” follows secondary education or high school. It includes college, post-secondary non-degree diploma, Technical-Vocational Education and Training (TVET) and higher education programs like baccalaureate degrees (college) graduate education (master’s, Ph.D., etc.)."
What is Tertiary Education?,"“Tertiary Education” follows secondary education or high school. It includes college, post-secondary non-degree diploma, Technical-Vocational Education and Training (TVET) and higher education programs like baccalaureate degrees (college) graduate education (master’s, Ph.D., etc.)."
What is Special Purpose Education Assistance?,"“Special Purpose Education Assistance” refers to research and scientific studies in the college and masteral/doctoral level funded by StuFAPs. It includes funding assistance for the following: 
Writing and publication of  books, manuscripts, theses, dissertations, scientific and technical journals 
Production, filming and documentation (through digital technologyof  research and studies 
Development of  instructional and academic materials, and science models "
What is Special Purpose Education Assistance?,"“Special Purpose Education Assistance” refers to research and scientific studies in the college and masteral/doctoral level funded by StuFAPs. It includes funding assistance for the following: 
Writing and publication of  books, manuscripts, theses, dissertations, scientific and technical journals 
Production, filming and documentation (through digital technologyof  research and studies 
Development of  instructional and academic materials, and science models "
Who are part of  the UniFAST Board?,"The UniFAST Board consists of  the Chair of  the Commission on Higher Education (CHED) as UniFAST Chair; the Director-General of  the Technical Education and Skills Development Authority (TESDA) and the Secretary of  the Department of  Science and Technology (DOST) as CoChairs; the Secretary of  the Department of  Education (DepEd), representatives from the Department of  Labor and Employment (DOLE), National Economic and Development Authority (NEDA), and the National Youth Commission (NYC) as members. The chair, co-chairs and members are with the UniFAST Board by virtue of  their permanent positions in their respective offices/ departments.

The various StuFAP operationalizations which UniFAST coordinates are implemented by CHED, TESDA and the following departments: Department of  Science and Technology (DOST), DOLE, Department of  Social Work and Development (DSWD), Department of  National Defense (DND), Department of  Agriculture (DA), the Department of  Interior and Local Government (DILG), and the Department of  Environment and Natural Resources (DENR); the Office of  the Presidential Adviser on the Peace Process (OPAPP); both Houses of  Congress, and other government instrumentalities such as the National Commission on Indigenous Peoples (NCIP), among others. 
 
The government financial institutions (GFIs) implementing the StuFAPs include Land Bank of  the Philippines (LBP), Development Bank of  the Philippines (DBP), Government Service Insurance System (GSIS), and the Social Security System (SSS)."
Who are part of  the UniFAST Board?,"The UniFAST Board consists of  the Chair of  the Commission on Higher Education (CHED) as UniFAST Chair; the Director-General of  the Technical Education and Skills Development Authority (TESDA) and the Secretary of  the Department of  Science and Technology (DOST) as CoChairs; the Secretary of  the Department of  Education (DepEd), representatives from the Department of  Labor and Employment (DOLE), National Economic and Development Authority (NEDA), and the National Youth Commission (NYC) as members. The chair, co-chairs and members are with the UniFAST Board by virtue of  their permanent positions in their respective offices/ departments.

The various StuFAP operationalizations which UniFAST coordinates are implemented by CHED, TESDA and the following departments: Department of  Science and Technology (DOST), DOLE, Department of  Social Work and Development (DSWD), Department of  National Defense (DND), Department of  Agriculture (DA), the Department of  Interior and Local Government (DILG), and the Department of  Environment and Natural Resources (DENR); the Office of  the Presidential Adviser on the Peace Process (OPAPP); both Houses of  Congress, and other government instrumentalities such as the National Commission on Indigenous Peoples (NCIP), among others. 
 
The government financial institutions (GFIs) implementing the StuFAPs include Land Bank of  the Philippines (LBP), Development Bank of  the Philippines (DBP), Government Service Insurance System (GSIS), and the Social Security System (SSS)."
What does the UniFAST Board do?,"The UniFAST Board does the following:  
Makes and approves policies and strategies for UniFAST; reviews  existing rules to make sure it follows the guidelines of  the UniFAST Law 
Coordinates with the implementing agencies of  StuFAPs; makes, approves, and issues guidelines for UniFAST 
Supports implementing agencies to make sure that the UniFAST law is implemented effectively 
Prepares, approves, and submits to CHED its own budget proposal; checks, adjusts, and puts together all requests for government funding of  tertiary education StuFAPs  
Spreads information to the public about the minimum guidelines, rules, and regulations of  StuFAPs for tertiary education 
Provides general guidelines for contracts with student beneficiaries 
Monitors, reviews, and evaluates StuFAPs and projects 
Adopts a Qualifying Exam System for Scoring Students (QESS) for merit- and talent-based StuFAPs and decides on requirements for grants-in-aid and other StuFAP modalities 
Provides a supportive environment for the growth and development of  private sector participation for StuFAPs 
Keeps a database with information on the StuFAPs, and accredited public and private tertiary education programs and institutions 
Spreads information on the database and encourages its use by interested parties; ensures that beneficiaries are able to maximize UniFAST benefits 
Designs a program to generate funds for UniFAST 
Facilitates/ taps donations, legacies, gifts and other forms of  contributions in cash or kind 
Appoints members of  the UniFAST Secretariat upon the recommendation of  the Executive Director-General 
Appoints one or more legal officers with authority to file cases 
Sets up, maintains, and updates an official record of  academic and research programs and tertiary education institutions  
Develops an efficient system of  tracking student borrowers, and of  a system of  releasing, and collecting of  payments. This includes entering into agreements with private and public banks, credit information bureaus and other government financial institutions  (GFIs) in tracking delinquent borrowers"
What does the UniFAST Board do?,"The UniFAST Board does the following:  
Makes and approves policies and strategies for UniFAST; reviews  existing rules to make sure it follows the guidelines of  the UniFAST Law 
Coordinates with the implementing agencies of  StuFAPs; makes, approves, and issues guidelines for UniFAST 
Supports implementing agencies to make sure that the UniFAST law is implemented effectively 
Prepares, approves, and submits to CHED its own budget proposal; checks, adjusts, and puts together all requests for government funding of  tertiary education StuFAPs  
Spreads information to the public about the minimum guidelines, rules, and regulations of  StuFAPs for tertiary education 
Provides general guidelines for contracts with student beneficiaries 
Monitors, reviews, and evaluates StuFAPs and projects 
Adopts a Qualifying Exam System for Scoring Students (QESS) for merit- and talent-based StuFAPs and decides on requirements for grants-in-aid and other StuFAP modalities 
Provides a supportive environment for the growth and development of  private sector participation for StuFAPs 
Keeps a database with information on the StuFAPs, and accredited public and private tertiary education programs and institutions 
Spreads information on the database and encourages its use by interested parties; ensures that beneficiaries are able to maximize UniFAST benefits 
Designs a program to generate funds for UniFAST 
Facilitates/ taps donations, legacies, gifts and other forms of  contributions in cash or kind 
Appoints members of  the UniFAST Secretariat upon the recommendation of  the Executive Director-General 
Appoints one or more legal officers with authority to file cases 
Sets up, maintains, and updates an official record of  academic and research programs and tertiary education institutions  
Develops an efficient system of  tracking student borrowers, and of  a system of  releasing, and collecting of  payments. This includes entering into agreements with private and public banks, credit information bureaus and other government financial institutions  (GFIs) in tracking delinquent borrowers"
What are StuFAPs?,"There’s more to Student Financial Assistance Programs (StuFAPs) than just scholarships. StuFAPs consist of  government-funded scholarships, grantsin-aid, student loans, subsidies, and other incentives for qualified students.

UniFAST was established to promote the development of talented students who will serve the public good, widen the pool of  world-class Filipino researchers, artists, innovators, thinkers and leaders."
What are StuFAPs?,"There’s more to Student Financial Assistance Programs (StuFAPs) than just scholarships. StuFAPs consist of  government-funded scholarships, grantsin-aid, student loans, subsidies, and other incentives for qualified students.

UniFAST was established to promote the development of talented students who will serve the public good, widen the pool of  world-class Filipino researchers, artists, innovators, thinkers and leaders."
What are the different kinds of  StuFAPs? ,"Scholarship is a form of  financial support given to qualified students based on merit or talent: extraordinary academic performance, special technical capability, and skills in the field of  research and development (R&D), innovation and other creative work.

Grant-in-Aid requires a minimum level of  capacity from poor but qualified students so they could finish tertiary education.

Student loan consists of  short- or long-term loans to students who are short of  cash, regardless of  their economic status during the time of  enrolment. The student is (or his parents, guardians or co-makers are) expected to pay the loan ) expected to pay the loan when they become gainfully employed."
What are the different kinds of  StuFAPs?,"Scholarship is a form of  financial support given to qualified students based on merit or talent: extraordinary academic performance, special technical capability, and skills in the field of  research and development (R&D), innovation and other creative work.

Grant-in-Aid requires a minimum level of  capacity from poor but qualified students so they could finish tertiary education.

Student loan consists of  short- or long-term loans to students who are short of  cash, regardless of  their economic status during the time of  enrolment. The student is (or his parents, guardians or co-makers are) expected to pay the loan ) expected to pay the loan when they become gainfully employed."
"Who may avail of  the StuFAPs? What are the minimum 
qualifications?  ","Students enrolling or are continuing a first-time Technical Vocational
Education and Training (TVET), associate, undergraduate (college),
master’s or doctoral degree -- whether taken in public or private, local or
national educational institution – could avail of  StuFAPs. 

Those who wish to pursue an undergraduate course (college), must be 
graduates of  Senior High School (SHS, or its equivalent) from authorized
schools or educational institutions implementing the K-12 program.

Applicants who wish to pursue TVET must have at least ten (10) years of 
basic education or its equivalent, and must pass the initial TESDA
screening/ profiling or assessment procedure, trade test, or skills
competency evaluation.

Applicants must possess good moral character with no criminal record
(based on conviction by final judgment). This will however not be required
of  target learners who were in conflict with the law or are undergoing or
have undergone rehabilitation.

The applicants must be Filipino citizens. But the UniFAST Board is
mandated by law to provide appropriate StuFAPs to foreign students based
on reciprocal programs of  countries that provide similar benefits to
Filipino students (such as student exchange programs, international
reciprocal scholarships, and other mutually-beneficial programs). 
 
Applicants must declare if  they are already benefiting from other
government StuFAPs. They may still avail of  another StuFAP for the
remaining portion -- if  at the time of  the application -- the amount of  the
other existing grant did not cover the full cost of  tertiary education at the
Higher Education Institution (HEI,) or the Technological Vocational
Institution (TVI)."
"Who may avail of  the StuFAPs? What are the minimum 
qualifications?","Students enrolling or are continuing a first-time Technical Vocational
Education and Training (TVET), associate, undergraduate (college),
master’s or doctoral degree -- whether taken in public or private, local or
national educational institution – could avail of  StuFAPs. 

Those who wish to pursue an undergraduate course (college), must be 
graduates of  Senior High School (SHS, or its equivalent) from authorized
schools or educational institutions implementing the K-12 program.

Applicants who wish to pursue TVET must have at least ten (10) years of 
basic education or its equivalent, and must pass the initial TESDA
screening/ profiling or assessment procedure, trade test, or skills
competency evaluation.

Applicants must possess good moral character with no criminal record
(based on conviction by final judgment). This will however not be required
of  target learners who were in conflict with the law or are undergoing or
have undergone rehabilitation.

The applicants must be Filipino citizens. But the UniFAST Board is
mandated by law to provide appropriate StuFAPs to foreign students based
on reciprocal programs of  countries that provide similar benefits to
Filipino students (such as student exchange programs, international
reciprocal scholarships, and other mutually-beneficial programs). 
 
Applicants must declare if  they are already benefiting from other
government StuFAPs. They may still avail of  another StuFAP for the
remaining portion -- if  at the time of  the application -- the amount of  the
other existing grant did not cover the full cost of  tertiary education at the
Higher Education Institution (HEI,) or the Technological Vocational
Institution (TVI)."
What are HEIs and TVIs?,"HEI is the acronym of  “higher education institution,” an institution of 
higher learning which offers bachelor and advanced degrees, including
associate degrees. 
TVIs or Technological Vocational Institutions are public or private
institutions that are recognized and authorized by TESDA to implement
the Dualized Training Program (DTP) together with a partner
establishment."
What are HEIs and TVIs?,"HEI is the acronym of  “higher education institution,” an institution of 
higher learning which offers bachelor and advanced degrees, including
associate degrees. 
TVIs or Technological Vocational Institutions are public or private
institutions that are recognized and authorized by TESDA to implement
the Dualized Training Program (DTP) together with a partner
establishment."
What do StuFAPs cover?,"Depending on the kind or modality, an StuFAP may (or may not) cover any
or all of  the following: 
 Tuition fees
 Miscellaneous and other school fees
 Educational expenses
 Cost-of-living allowance (COLA) 

The top 10 graduates of  all public high schools are given priority in making
student loans. The loans however should be repaid in installment basis the
student graduates or leaves the school/ college/ university. "
What do StuFAPs cover?,"Depending on the kind or modality, an StuFAP may (or may not) cover any
or all of  the following: 
 Tuition fees
 Miscellaneous and other school fees
 Educational expenses
 Cost-of-living allowance (COLA) 

The top 10 graduates of  all public high schools are given priority in making
student loans. The loans however should be repaid in installment basis the
student graduates or leaves the school/ college/ university. "
What are the parties/ agencies implementing StuFAPs?,"The UniFAST Board coordinates StuFAPs with CHED, TESDA, and the
following government agencies and instrumentalities:

Departments:
1. Department of  Science and Technology (DOST)
2. Department of  Social Work and Development (DSWD)
3. Department of  Labor and Employment (DOLE)
4. Department of  National Defense (DND)
5. Department of  Environment and Natural Resources (DENR)
6. Department of  Agriculture (DA) 
7. Department of  Interior and Local Government (DILG) 
 
Other government offices:
1. National Commission on Indigenous Peoples(NCIP)
2. Office of  the Presidential Adviser on the Peace Process (OPAPP)
3.  Both Houses of  Congress    
 
Government Financing Institutions (GFIs): 
1. Land Bank of  the Philippines (LBP)
2. Development Bank of  the Philippines (DBP) 
3. Government Service Insurance System (GSIS)
4. Social Security System (SSS)"
What are the parties/ agencies implementing StuFAPs?,"The UniFAST Board coordinates StuFAPs with CHED, TESDA, and the
following government agencies and instrumentalities:

Departments:
1. Department of  Science and Technology (DOST)
2. Department of  Social Work and Development (DSWD)
3. Department of  Labor and Employment (DOLE)
4. Department of  National Defense (DND)
5. Department of  Environment and Natural Resources (DENR)
6. Department of  Agriculture (DA) 
7. Department of  Interior and Local Government (DILG) 
 
Other government offices:
1. National Commission on Indigenous Peoples(NCIP)
2. Office of  the Presidential Adviser on the Peace Process (OPAPP)
3.  Both Houses of  Congress    
 
Government Financing Institutions (GFIs): 
1. Land Bank of  the Philippines (LBP)
2. Development Bank of  the Philippines (DBP) 
3. Government Service Insurance System (GSIS)
4. Social Security System (SSS)"
Where can one apply for StuFAPs?,"One could apply for scholarships, grants and/or loans at CHED, TESDA,
DOST, DOLE, DND, DA, DENR, DSWD, DILG, OPAPP, NCIP, among
StuFAP-granting institutions. Loans are provided only by CHED and the
GFIs. "
Where can one apply for StuFAPs?,"One could apply for scholarships, grants and/or loans at CHED, TESDA,
DOST, DOLE, DND, DA, DENR, DSWD, DILG, OPAPP, NCIP, among
StuFAP-granting institutions. Loans are provided only by CHED and the
GFIs. "
How could I get in touch with the UniFAST Secretariat? ,"To get in touch with the UniFAST Secretariat, please e-mail 
<unifastsecretariat @gmail.com>"
How could I get in touch with the UniFAST Secretariat?,"To get in touch with the UniFAST Secretariat, please e-mail 
<unifastsecretariat @gmail.com>"
